Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies,cover_url,cover_path
35249663,Inspired: How to Create Tech Products Customers Love,Marty Cagan,"Cagan, Marty",,"=""1119387507""","=""9781119387503""",3,4.23,Wiley,Hardcover,349.0,2017.0,2008.0,2021/05/12,2021/05/05,,,read,,,,1,0,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1685881845i/35249663.jpg,images/book-cover/1119387507.jpg
20359147,കേരളചരിത്രം | Keralacharithram,A. Sreedhara Menon,"Menon, A. Sreedhara",,"=""8126415886""","=""9788126415885""",5,3.86,DC Books,Paperback,440.0,2007.0,1967.0,2021/05/07,2021/04/20,,,read,,,,1,0,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1479177965i/20359147.jpg,images/book-cover/8126415886.jpg
13426060,The Strategist: Be the Leader Your Business Needs,Cynthia A. Montgomery,"Montgomery, Cynthia A.",,"=""0062071017""","=""9780062071019""",1,3.87,Collins,Hardcover,189.0,2013.0,2012.0,,2020/07/08,,,read,,,,2,0,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1338105319i/13426060.jpg,images/book-cover/0062071017.jpg
12525276,Conversion Marketing:  Convert Website Visitors to Buyers,Bryan Heathman,"Heathman, Bryan",,"=""""","=""""",1,3.12,Made for Success,Nook,110.0,2011.0,2011.0,2021/05/05,2021/05/04,,,read,I had to skim it through since this book covers just basic digital marketing and I could find not find much value ,,,1,0,,
24970321,Pravachakan | പ്രവാചകൻ | The Prophet,Kahlil Gibran,"Gibran, Kahlil",ബോബി ജോസ് കട്ടികാട് | Bobby Jose Kattikadu,"=""""","=""""",5,4.23,Theo Books,Paperback,60.0,2014.0,1923.0,2021/05/04,2021/05/04,,,read,,,,1,0,,
27820179,Keralacharithrathinte Nattuvazhikal,N.M. Namboothiri,"Namboothiri, N.M.",P K Sivadas,"=""8126445963""","=""9788126445967""",2,1.67,DC Books,Paperback,654.0,2015.0,2009.0,2021/05/04,2021/05/04,,,read,It’s biased and presents urban stories (and myths) as history without much factual evidence ,,,1,0,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1447414305i/27820179.jpg,images/book-cover/8126445963.jpg
40534545,Ikigai: The Japanese Secret to a Long and Happy Life / The Little Book of Hygge / Lagom: The Swedish Art of Balanced Living,Héctor  García,"García, Héctor",Francesc Miralles,"=""9123672609""","=""9789123672608""",4,3.85,Hutchinson/Penguin Life/Gaia,Hardcover,,2018.0,2018.0,2021/05/04,2021/05/04,,,read,,,,1,0,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1636345522i/40534545.jpg,images/book-cover/9123672609.jpg
114841,Innovation and Entrepreneurship,Peter F. Drucker,"Drucker, Peter F.",,"=""0887306187""","=""9780887306181""",2,4.08,Collins,Paperback,288.0,1993.0,1985.0,2021/05/04,2021/05/04,,,read,Outdated ideas and examples mostly. ,,,1,0,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1387707623i/114841.jpg,images/book-cover/0887306187.jpg
3041,Applied Economics: Thinking Beyond Stage One,Thomas Sowell,"Sowell, Thomas",,"=""0465081436""","=""9780465081431""",2,4.19,Basic Books,Hardcover,256.0,2003.0,2003.0,2021/05/04,2021/04/28,,,read,,,,1,0,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1326843961i/3041.jpg,images/book-cover/0465081436.jpg
1529826,Drawing Expressive Portraits,Paul Leveille,"Leveille, Paul",,"=""1581802455""","=""9781581802450""",5,3.86,North Light Books,Paperback,,2001.0,1996.0,2021/05/03,2020/05/27,,,read,,,,1,0,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1388957193i/1529826.jpg,images/book-cover/1581802455.jpg
32622193,A Little History of Economics,Niall Kishtainy,"Kishtainy, Niall",,"=""0300206364""","=""9780300206364""",4,4.08,Yale University Press,Hardcover,256.0,2017.0,,2021/04/27,2021/04/25,,,read,,,,1,0,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1484480873i/32622193.jpg,images/book-cover/0300206364.jpg
29445816,Origins: The Search for Our Prehistoric Past,Frank H.T. Rhodes,"Rhodes, Frank H.T.",,"=""1501702440""","=""9781501702440""",4,3.77,Comstock Publishing Associates,Hardcover,344.0,2016.0,,2021/04/21,2021/04/15,,,read,,,,1,0,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1476906950i/29445816.jpg,images/book-cover/1501702440.jpg
55305389,Think Again: The Power of Knowing What You Don't Know,Adam M. Grant,"Grant, Adam M.",,"=""1984878115""","=""9781984878113""",5,4.13,Viking,Kindle Edition,319.0,2021.0,2021.0,2021/04/20,2021/03/11,,,read,,,,1,0,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1637518471i/55305389.jpg,images/book-cover/1984878115.jpg
43665604,How to Win an Indian Election,Shivam Shankar Singh,"Singh, Shivam Shankar",,"=""0143446843""","=""9780143446842""",0,4.05,Ebury Press,Paperback,248.0,2019.0,,,2021/04/17,to-read,to-read (#96),to-read,,,,0,0,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1548091723i/43665604.jpg,images/book-cover/0143446843.jpg
42100060,The Mental Toughness Advantage: A 5-Step Program to Boost Your Resilience and Reach Your Goals,Douglas Comstock,"Comstock, Douglas",,"=""164152054X""","=""9781641520546""",2,3.67,Rockridge Press,Kindle Edition,116.0,2018.0,2018.0,2021/04/14,2021/04/14,,,read,,,,1,0,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1538276743i/42100060.jpg,images/book-cover/164152054X.jpg
22573915,The Membership Economy,Robbie Kellman Baxter,"Baxter, Robbie Kellman",,"=""0071839321""","=""9780071839327""",3,3.73,McGraw Hill,Hardcover,272.0,2015.0,2015.0,2021/04/13,2021/04/07,,,read,,,,1,0,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1417404992i/22573915.jpg,images/book-cover/0071839321.jpg
26156469,Never Split the Difference: Negotiating As If Your Life Depended On It,Chris Voss,"Voss, Chris",Tahl Raz,"=""0062407805""","=""9780062407801""",5,4.34,Harper Business,Hardcover,274.0,2016.0,2016.0,2021/04/06,2021/04/02,,,read,,,,1,0,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1460910517i/26156469.jpg,images/book-cover/0062407805.jpg
61329,Crossing the Chasm: Marketing and Selling High-Tech Products to Mainstream Customers,Geoffrey A. Moore,"Moore, Geoffrey A.",Regis McKenna,"=""0060517123""","=""9780060517120""",4,4.02,HarperBusiness,Paperback,211.0,2006.0,2006.0,2021/04/02,2020/01/09,,,read,,,,1,0,https://m.media-amazon.com/images/S/compressed.photo.goodreads.com/books/1421709292i/61329.jpg,images/book-cover/0060517123.jpg
38472012,Breaking Smart: How Software is Eating the World,Venkatesh G. Rao,"Rao, Venkatesh G.",Grace Witherell,"=""""","=""""",3,4.24,Ribbonfarm.com,Kindle Edition,167.0,2018.0,2015.0,2021/04/02,2021/04/02,,,read,,,,1,0,,
53019828,The Imposter Cure: How to stop feeling like a fraud and escape the mind-trap of imposter syndrome,Jessamy Hibberd,"Hibberd, Jessamy",,"=""""","=""""",4,3.93,Hachette,Kindle Edition,288.0,2019.0,2019.0,2021/03/31,2021/03/23,,,read,,,,1,0,,
33233042,AmenOru Kanyasthreeyude Atmakadha (Malayalam),Sister Jesme,"Jesme, Sister",,"=""""","=""""",1,3.01,DC Books,Kindle Edition,328.0,2016.0,2009.0,2018/01/11,2017/02/08,,,read,,,,2,0,,
39282904,Wardley Maps,Simon Wardley,"Wardley, Simon",,"=""""","=""""",0,4.22,,Unknown Binding,709.0,,,2021/03/29,2021/03/23,,,read,,,,1,0,,
